GeneSet_ID	gene_ID	N	M	n	m	p_value	FDR_q_value
hsa04611	2162	155	10	1	1	0.06451612903225806	0.17584460839314076
hsa04613	2162	155	10	13	1	0.5949531638015501	0.5949531638015501
hsa04630	2162	155	10	3	1	0.18243426402819185	0.25880209548185357
hsa04640	2162	155	10	5	1	0.2868028422086293	0.323980988420859
hsa04726	2162	155	10	1	1	0.06451612903225806	0.17584460839314076
hsa04810	2162	155	10	2	2	0.0037704231252618354	0.07666527021365732
hsa04910	2162	155	10	1	1	0.06451612903225806	0.17584460839314076
hsa04919	2162	155	10	3	2	0.010916976761379038	0.11098926374068689
hsa05010	2162	155	10	8	2	0.0853189314483414	0.1947768350322283
hsa05012	2162	155	10	6	1	0.3343493193947207	0.36420193719782074
hsa05014	2162	155	10	4	1	0.23622148350002134	0.2771059710288712
hsa05016	2162	155	10	4	1	0.23622148350002134	0.2771059710288712
hsa05020	2162	155	10	4	1	0.23622148350002134	0.2771059710288712
hsa05022	2162	155	10	7	2	0.0663020654597088	0.17584460839314076
hsa05130	2162	155	10	1	1	0.06451612903225806	0.17584460839314076
hsa05132	2162	155	10	2	1	0.12526183493925427	0.1947768350322283
hsa05160	2162	155	10	12	1	0.5644985144633207	0.5739068230377093
hsa05163	2162	155	10	2	1	0.12526183493925427	0.1947768350322283
hsa05165	2162	155	10	10	2	0.12772251477523167	0.1947768350322283
hsa05168	2162	155	10	9	1	0.46037070829315174	0.4841829863083148
hsa05171	2162	155	10	11	1	0.5319984036023743	0.5500322477922853
hsa05200	2162	155	10	9	1	0.46037070829315174	0.4841829863083148
hsa05205	2162	155	10	1	1	0.06451612903225806	0.17584460839314076
hsa05206	2162	155	10	4	1	0.23622148350002134	0.2771059710288712
hsa05207	2162	155	10	5	1	0.2868028422086293	0.323980988420859
hsa05208	2162	155	10	4	1	0.23622148350002134	0.2771059710288712
hsa05210	2162	155	10	2	1	0.12526183493925427	0.1947768350322283
hsa05212	2162	155	10	3	1	0.18243426402819185	0.25880209548185357
hsa05213	2162	155	10	1	1	0.06451612903225806	0.17584460839314076
hsa05214	2162	155	10	2	1	0.12526183493925427	0.1947768350322283
hsa05215	2162	155	10	3	1	0.18243426402819185	0.25880209548185357
hsa05218	2162	155	10	2	1	0.12526183493925427	0.1947768350322283
hsa05219	2162	155	10	2	1	0.12526183493925427	0.1947768350322283
hsa05223	2162	155	10	2	1	0.12526183493925427	0.1947768350322283
hsa05224	2162	155	10	2	1	0.12526183493925427	0.1947768350322283
hsa05226	2162	155	10	2	1	0.12526183493925427	0.1947768350322283
hsa05231	2162	155	10	1	1	0.06451612903225806	0.17584460839314076
hsa05235	2162	155	10	4	1	0.23622148350002134	0.2771059710288712
hsa05410	2162	155	10	1	1	0.06451612903225806	0.17584460839314076
hsa05412	2162	155	10	1	1	0.06451612903225806	0.17584460839314076
hsa05414	2162	155	10	1	1	0.06451612903225806	0.17584460839314076
hsa05418	2162	155	10	2	1	0.12526183493925427	0.1947768350322283
hsa00512	153222	155	17	1	1	0.10967741935483871	0.3037220843672457
hsa00532	153222	155	17	2	1	0.20795978215333052	0.4048295895445427
hsa00561	153222	155	17	1	1	0.10967741935483871	0.3037220843672457
hsa00564	153222	155	17	1	1	0.10967741935483871	0.3037220843672457
hsa00600	153222	155	17	1	1	0.10967741935483871	0.3037220843672457
hsa01100	153222	155	17	24	3	0.5104648478756151	0.700294563579911
hsa02010	153222	155	17	1	1	0.10967741935483871	0.3037220843672457
hsa03008	153222	155	17	18	1	0.891756063977426	0.891756063977426
hsa03018	153222	155	17	2	2	0.011395056556346879	0.20511101801424383
hsa04114	153222	155	17	7	1	0.5641261762171506	0.700294563579911
hsa04120	153222	155	17	4	1	0.374705091173682	0.6131537855569341
hsa04141	153222	155	17	6	1	0.5079909110329961	0.700294563579911
hsa04150	153222	155	17	1	1	0.10967741935483871	0.3037220843672457
hsa04330	153222	155	17	2	1	0.20795978215333052	0.4048295895445427
