GeneSet_ID	gene_ID	N	M	n	m	p_value	FDR_q_value
hsa05161	54855	155	25	8	1	0.7638159964686492	0.8078823039572252
hsa05165	54855	155	25	10	1	0.8375478398970384	0.8691534187610775
hsa05166	54855	155	25	7	1	0.7158111177021143	0.7873922294723257
hsa05169	54855	155	25	11	1	0.8655568330182374	0.8815856632593159
hsa05170	54855	155	25	7	1	0.7158111177021143	0.7873922294723257
hsa05200	54855	155	25	9	2	0.4424772161538853	0.5935669972796022
hsa05202	54855	155	25	8	1	0.7638159964686492	0.8078823039572252
hsa05203	54855	155	25	13	1	0.9083211465249622	0.9083211465249622
hsa05207	54855	155	25	5	2	0.1836881713472607	0.4392543227869278
hsa05215	54855	155	25	3	1	0.41224114279142604	0.5668315713382108
hsa05221	54855	155	25	3	1	0.41224114279142604	0.5668315713382108
hsa05340	54855	155	25	1	1	0.16129032258064546	0.40322580645161366
hsa05417	54855	155	25	3	1	0.41224114279142604	0.5668315713382108
hsa05418	54855	155	25	2	1	0.2974444909928774	0.511232718894008
hsa00240	114908	155	23	4	1	0.4776148150261798	0.5492570372801068
hsa01100	114908	155	23	24	1	0.9850670167810986	0.9850670167810986
hsa01232	114908	155	23	4	1	0.4776148150261798	0.5492570372801068
hsa01240	114908	155	23	4	1	0.4776148150261798	0.5492570372801068
hsa03008	114908	155	23	18	1	0.9539821088764768	0.9751817112959541
hsa03018	114908	155	23	2	2	0.02119815668202766	0.06500768049155149
hsa03250	114908	155	23	5	2	0.15934039769113717	0.27146882569601144
hsa04062	114908	155	23	2	2	0.02119815668202766	0.06500768049155149
hsa04064	114908	155	23	1	1	0.14838709677419365	0.2625310173697272
hsa04141	114908	155	23	6	1	0.6250819617247491	0.7013114692521575
hsa04142	114908	155	23	2	1	0.2755760368663595	0.3961405529953918
hsa04217	114908	155	23	4	4	0.0003828356469922433	0.002201304970205399
hsa04330	114908	155	23	2	1	0.2755760368663595	0.3961405529953918
hsa04380	114908	155	23	4	2	0.1050610396960142	0.2625310173697272
hsa04550	114908	155	23	1	1	0.14838709677419365	0.2625310173697272
hsa04620	114908	155	23	1	1	0.14838709677419365	0.2625310173697272
hsa04621	114908	155	23	15	9	2.1029576476875677e-05	0.0001612267529893802
hsa04622	114908	155	23	2	2	0.02119815668202766	0.06500768049155149
hsa04623	114908	155	23	2	2	0.02119815668202766	0.06500768049155149
hsa04625	114908	155	23	2	2	0.02119815668202766	0.06500768049155149
hsa04630	114908	155	23	3	2	0.057775368211800945	0.1563333492789908
hsa04658	114908	155	23	1	1	0.14838709677419365	0.2625310173697272
hsa04659	114908	155	23	2	1	0.2755760368663595	0.3961405529953918
hsa04917	114908	155	23	1	1	0.14838709677419365	0.2625310173697272
hsa04919	114908	155	23	3	1	0.3844763711936392	0.5201739139678648
hsa04933	114908	155	23	1	1	0.14838709677419365	0.2625310173697272
hsa04935	114908	155	23	1	1	0.14838709677419365	0.2625310173697272
hsa05010	114908	155	23	8	1	0.7322256891513146	0.7833112023479178
hsa05140	114908	155	23	2	1	0.2755760368663595	0.3961405529953918
hsa05145	114908	155	23	1	1	0.14838709677419365	0.2625310173697272
hsa05152	114908	155	23	4	1	0.4776148150261798	0.5492570372801068
hsa05160	114908	155	23	12	10	3.8826067229530005e-08	5.953330308527934e-07
hsa05161	114908	155	23	8	4	0.017523637014571505	0.06500768049155149
hsa05162	114908	155	23	9	9	7.275538005731252e-09	1.6733737413181878e-07
hsa05164	114908	155	23	10	10	6.976543293166956e-10	3.2092099148568e-08
hsa05165	114908	155	23	10	4	0.04250334421357991	0.12219711461404224
hsa05167	114908	155	23	4	3	0.010489696727587471	0.05361400549655818
