gene1	gene2	correlation
608	932	0.049142
608	952	0.640931
608	983	0.600062
608	990	0.789996
608	991	0.687623
608	1033	0.586024
608	1088	0.06453
608	1118	-0.044216
608	1397	-0.050924
608	1511	0.04186
608	1667	-0.040393
608	1668	-0.024429
608	1669	0.047135
608	1718	0.346008
608	1719	0.412118
608	1869	0.342164
608	1950	0.326016
608	1955	0.087765
608	1997	0.082786
608	2162	0.234115
608	2215	-0.042076
608	2237	0.691052
608	2529	-0.117411
608	2537	-0.075013
608	2633	-0.048381
608	2635	0.003928
608	2731	0.865754
608	3017	0.182426
608	3039	-0.195321
608	3040	-0.214013
608	3043	-0.21447
608	3161	0.623646
608	3429	0.173636
608	3433	-0.144255
608	3434	-0.082855
608	3437	-0.093725
608	3493	0.857004
608	3494	0.713969
608	3500	0.910182
608	3501	0.807067
608	3502	0.898362
608	3503	0.83137
608	3507	0.800312
608	3512	0.946199
608	3514	0.896616
608	3537	0.886296
608	3538	0.893024
608	3539	0.888613
608	3656	0.085045
608	3662	0.781295
608	3690	0.292933
608	3832	0.620454
608	3833	0.550895
608	3925	0.562975
608	3934	-0.001115
608	3998	0.718029
608	4051	0.04948
608	4057	0.029096
608	4061	0.036837
608	4171	0.611141
608	4173	0.592025
608	4175	0.5467
608	4288	0.497624
608	4311	0.158289
608	4317	0.027409
608	4353	0.003947
608	4599	-0.087468
608	4605	0.810699
608	4680	0.028091
608	4713	0.168425
608	4938	-0.046909
608	4939	-0.036562
608	4940	-0.066674
608	4973	0.090463
608	5273	0.008244
608	5414	-0.101752
608	5450	0.897404
608	5577	0.31622
608	5610	-0.101484
608	5806	0.009166
608	6035	0.162876
608	6036	-0.104341
608	6037	-0.019693
608	6241	0.711614
608	6319	0.256407
608	6518	0.376213
608	6614	-0.1095
608	6675	0.766179
608	6678	0.300288
608	6772	-0.033863
608	6773	-0.094784
608	6782	0.510957
608	6868	0.128052
608	6923	0.02621
608	6941	0.640359
608	6947	-0.060846
608	7083	0.522314
608	7153	0.506943
608	7184	0.804314
608	7298	0.571195
608	7345	0.789295
608	8318	0.656889
608	8339	0.269649
608	8343	0.197827
608	8345	0.273377
608	8347	0.142
608	8348	0.310319
608	8365	0.229652
608	8460	0.041306
608	8638	-0.049129
608	8698	-0.053815
608	8809	0.072545
608	8819	0.084796
608	8836	0.641994
608	8876	0.070395
608	8900	-0.166091
608	8916	0.108355
608	8926	0.283416
608	8970	0.353304
608	9055	0.42523
608	9133	0.635085
608	9212	0.605184
608	9232	0.676679
608	9334	0.029956
608	9381	-0.104015
608	9582	0.115828
608	9663	0.143731
608	9697	0.636474
608	9768	0.604566
608	9787	0.655702
608	10024	0.526728
608	10321	0.101938
608	10346	-0.002289
608	10384	0.143973
608	10403	0.330638
608	10561	-0.045665
608	10562	0.022674
608	10615	0.679311
608	10964	-0.060381
608	11004	0.617834
608	11065	0.592747
608	11119	0.152338
608	11130	0.727752
608	11274	-0.088257
608	22885	0.313646
608	22895	0.253718
608	22936	0.633754
608	22974	0.563191
608	23231	0.632528
608	23347	0.039552
608	23389	0.117466
608	23495	0.90428
608	23531	0.315865
608	23586	-0.151962
608	24138	-0.093672
608	25832	0.066182
608	28834	0.68446
608	29028	0.422182
608	29089	0.695115
608	29126	-0.145739
608	29952	0.095517
608	51053	0.698863
608	51191	-0.10045
608	51203	0.543408
608	51237	0.938219
608	51303	0.834788
608	51439	-0.005229
608	51513	-0.247319
608	51659	0.629647
608	51673	-0.030572
608	54407	0.125986
608	54464	0.034691
608	54625	-0.088207
608	54739	-0.013464
608	54809	-0.027183
608	54855	0.808034
608	54877	0.012829
608	54900	0.575065
